Date,Pool Number,Salinity (ppt),Second Salinity Noted (lower),Temperature (C),Total ,Unmarked,Red (2021/2020),Orange (2019),Pink (2018),Yellow (2017),Dead Individuals,Eggmasses present,Returns Per Night,Color
4/22/2019,2,0.12,,,4,2,,,,1,,,,
4/22/2019,4,2.75,,,2,1,,,,,,,,
4/22/2019,5,0.11,,,4,2,,,,1,,,,
4/22/2019,6,0.17,,,6,2,,,,,,,,
4/22/2019,7,0.14,,,6,5,,,,,,,,
4/22/2019,8,0.11,,,1,,,,,1,,,,
4/22/2019,9,0.17,,,2,2,,,,,,,,
4/22/2019,10,0.14,,,1,1,,,,,,,,
4/22/2019,11,0.36,,,12,9,,,,1,,,,
4/22/2019,12,0.19,,,3,1,,,,,,,,
4/22/2019,13,0.2,,,2,2,,,,,,,,
4/22/2019,15,0.4,,,8,6,,,,2,,,,
4/24/2019,2,0.13,,,1,,,,,,,,2,Yellow
4/24/2019,5,0.13,,,1,1,,,,,,,,
4/24/2019,6,0.14,,,1,,,,,,,,,
4/24/2019,7,0.15,,,2,1,,,,1,,,,
4/24/2019,8,0.14,,,1,1,,,,,,,,
4/24/2019,11,0.23,,,1,,,,,,,,,
4/24/2019,13,0.21,,,2,1,,,,1,,,,
4/24/2019,15,0.34,,,1,,,,,,,,,
4/26/2019,1,0.11,,,,,,,5,28,,pools with egg masses and/or adults,,
4/26/2019,2,0.12,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,5,0.1,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,7,0.12,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,8,0.11,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,9,0.12,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,10,0.14,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,11,0.16,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,12,0.14,,,1,,,,,,,pools with egg masses and/or adults,,
4/26/2019,13,0.18,,,,,,,,,,pools with egg masses and/or adults,,
4/26/2019,15,0.21,,,,,,,,,,pools with egg masses and/or adults,,
