date,svl,pool_num,pit_num,image,sex,color,year,air_temp_c,salinity_ppt,pool_temp_c,spermatophores,eggs,notes
2022-03-31,,0,900043000243282,x,m,red,2020_2021,3.8,0.12,7.7,,,Outside pool 9
2022-03-31,,9,900043000243307,x,m,orange,2019,3.8,0.2,7.5,,,Female in notes
2022-03-31,,3,900043000243313,x,m,red,2020_2021,3.8,0.21,7.3,,,
2022-03-31,,9,900043000243314,x,m,red,2020_2021,3.8,0.2,7.5,,,Beautiful orange spots - Pink in notes
2022-03-31,,0,900043000243319,x,m,NA,2022,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-03-31,,3,900043000243322,x,m,red,2020_2021,3.8,0.21,7.3,,,
2022-03-31,,0,900043000243326,x,m,red,2020_2021,3.8,0.12,7.7,,,Outside pool 9
2022-03-31,,0,900043000243341,x,m,NA,2022,3.8,0,3.8,,,On trail below road above pools
2022-03-31,,0,900043000243345,x,m,NA,2022,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-03-31,,0,900043000243349,x,m,NA,2022,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-03-31,,0,900043000243352,x,m,yellow,2017,3.8,0.12,7.7,,,Outside pool 9
2022-03-31,,9,900043000243360,x,m,NA,2022,3.8,0.2,7.5,,,Pink in notes
2022-03-31,24,9,900043000243362,x,f,NA,2022,3.8,0.2,7.5,,,
2022-03-31,,9,900043000243364,x,m,red,2020_2021,3.8,0.2,7.5,,,
2022-03-31,,0,900043000243386,x,m,red,2020_2021,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-03-31,,9,900043000243391,x,m,red,2020_2021,3.8,0.2,7.5,,,Female in notes
2022-03-31,,0,900043000243395,x,m,NA,2022,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-03-31,,0,900043000243398,x,m,orange,2019,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-03-31,,9,900043000243399,x,m,NA,2022,3.8,0.2,7.5,,,
2022-03-31,,0,900043000243400,x,m,NA,2022,3.8,0.12,7.4,,,Right of pool 3 facing ocean
2022-04-01,,1,900043000243306,x,m,red,2020_2021,3.3,0.2,7.3,,,
2022-04-01,,15,900043000243312,x,m,NA,2022,3.3,0.37,7.4,,,
2022-04-01,,11,900043000243317,x,m,orange,2019,3.3,0.18,8.2,,,
2022-04-01,,4,900043000243318,x,m,orange,2019,3.3,0.18,8.2,,,
2022-04-01,,3,900043000243320,x,m,NA,2022,3.3,0.19,8,,,
2022-04-01,,5,900043000243323,x,m,orange,2019,3.3,0.18,7.8,,,
2022-04-01,,0,900043000243324,x,m,red,2020_2021,3.3,0,3.3,,,
2022-04-01,38,15,900043000243327,x,m,orange,2019,3.3,0.37,7.4,,,
2022-04-01,,13,900043000243328,x,m,red,2020_2021,3.3,0.24,8,,,
2022-04-01,,11,900043000243329,x,m,red,2020_2021,3.3,0.18,8.2,,,
2022-04-01,,5,900043000243332,x,m,NA,2022,3.3,0.18,7.8,,,
2022-04-01,,13,900043000243334,x,m,NA,2022,3.3,0.24,8,,,
2022-04-01,,0,900043000243338,x,m,NA,2022,3.3,0,3.3,,,
2022-04-01,,3,900043000243339,x,f,yellow,2017,3.3,0.19,8,,,
2022-04-01,,1,900043000243340,x,m,red,2020_2021,3.3,0.2,7.3,,,Color debated
2022-04-01,,15,900043000243343,x,m,NA,2022,3.3,0.37,7.4,,,
2022-04-01,,15,900043000243344,x,m,orange,2019,3.3,0.37,7.4,,,
2022-04-01,,11,900043000243348,x,m,yellow,2017,3.3,0.18,8.2,,,
2022-04-01,,15,900043000243351,x,m,orange,2019,3.3,0.37,7.4,,,
2022-04-01,,15,900043000243356,x,m,orange,2019,3.3,0.37,7.4,,,
2022-04-01,,5,900043000243363,x,m,red ,2020_2021,3.3,0.18,7.8,,,
2022-04-01,,11,900043000243365,x,m,yellow,2017,3.3,0.18,8.2,,,
2022-04-01,,3,900043000243366,x,m,NA,2022,3.3,0.19,8,,,
2022-04-01,,13,900043000243367,x,f,orange,2019,3.3,0.24,8,,,
2022-04-01,,5,900043000243370,x,m,orange,2019,3.3,0.18,7.8,,,
2022-04-01,,11,900043000243371,x,m,NA,2022,3.3,0.18,8.2,,,
2022-04-01,,5,900043000243376,x,m,NA,2022,3.3,0.18,7.8,,,
2022-04-01,,15,900043000243378,x,m,orange,2019,3.3,0.37,7.4,,,
2022-04-01,,5,900043000243385,x,m,NA,2022,3.3,0.18,7.8,,,
2022-04-01,,11,900043000243387,x,m,orange,2019,3.3,0.18,8.2,,,
2022-04-01,,15,900043000243388,x,f,red,2020_2021,3.3,0.37,7.4,,,
2022-04-01,,11,900043000243389,x,m,orange,2019,3.3,0.18,8.2,,,
2022-04-01,,5,900043000243390,x,m,yellow,2017,3.3,0.18,7.8,,,
2022-04-01,,5,900043000243392,x,m,red,2020_2021,3.3,0.18,7.8,,,
2022-04-01,,15,900043000243394,x,f,NA,2022,3.3,0.37,7.4,,,
2022-04-01,,3,900043000243397,x,m,NA,2022,3.3,0.19,8,,,
2022-04-01,,4,900043000243403,x,m,red,2020_2021,3.3,0.18,8.2,,,Possibly female
2022-04-01,,0,900043000243404,x,m,NA,2022,3.3,0,3.3,,,
2022-04-02,3,15,900043000243311,x,m,NA,2022,1.6,0.3,7.6,,,
2022-04-02,,7,900043000243354,x,m,red,2020_2021,1.6,0.19,8.8,,,
2022-04-02,,7,900043000243357,x,m,orange,2019,1.6,0.19,8.8,,,
2022-04-04,,11,900043000243309,y,f,NA,2022,-1,0.18,10,,,
2022-04-04,,7,900043000243333,y,f,NA,2022,-1,0.16,10,,,
2022-04-04,,11,900043000243335,y,f,red,2020_2021,-1,0.18,10,,,
2022-04-04,,7,900043000243342,y,f,NA,2022,-1,0.16,10,,,
2022-04-04,,7,900043000243346,y,f,NA,2022,-1,0.16,10,,,
2022-04-04,,11,900043000243353,y,f,NA,2022,-1,0.18,10,,,
2022-04-04,,5,900043000243368,y,f,NA,2022,-1,0.19,8.7,,,
2022-04-04,,11,900043000243369,y,f,NA ,2022,-1,0.18,10,,,
2022-04-04,9,15,900043000243381,y,NA,f,2022,-1,0.27,8.8,,,"Not originally transferred to this data set, I just discovered this and it feels like christmas!"
2022-04-05,5,15,900043000243308,x,f,NA,2022,1.1,0.26,8.6,,,
2022-04-05,,7,900043000243315,x,f,yellow,2017,1.1,0.16,11.6,,,
2022-04-05,,13,900043000243331,x,f,NA,2022,1.1,0.25,9,,,
2022-04-05,,11,900043000243350,x,NA,f,2022,1.1,0.17,9,,,This one too!
2022-04-05,,7,900043000243396,x,m,red,2020_2021,1.1,0.16,11.6,,,
2022-04-07,,12,900043000243234,x,m,NA,NA,3.3,0.15,8.5,,,
2022-04-07,12,12,900043000243273,x,m,NA,NA,3.3,0.15,8.5,,,
2022-04-07,,0,900043000243276,x,m,red,2020_2021,3.3,0.25,9.8,,,Checked color later
2022-04-07,,2,900043000243284,x,f,NA,NA,3.3,0.17,7.8,,,
2022-04-07,,7,900043000243321,x,m,NA,NA,3.3,0.14,8.5,,,Tail Clipped
2022-04-07,,6,900043000243361,x,m,NA,NA,3.3,0.14,7.4,,,
2022-04-07,,7,900043000243374,x,m,NA,NA,3.3,0.14,8.5,,,
2022-04-07,,0,900043000243375,x,m,NA,NA,3.3,0.25,9.8,,,Travelling from pool 6 - pool 5
2022-04-07,,0,900043000243377,x,m,NA,NA,3.3,0.25,9.8,,,Forgot UV light
2022-04-07,,0,900043000243380,x,m,NA,NA,3.3,0.25,9.8,,,Above 5
2022-04-07,,7,900043000243393,x,m,NA,NA,3.3,0.14,8.5,,,
2022-04-07,,6,900043000243401,x,m,NA,NA,3.3,0.14,7.4,,,
2022-04-08,,7,900043000243206,y,m,orange,2019,3.3,0.31,6.9,,13,
2022-04-08,,11,900043000243209,y,m,NA,2022,3.3,0.31,7,,20,
2022-04-08,,13,900043000243210,y,m,NA,2022,3.3,0.27,7,,4,
2022-04-08,,13,900043000243214,y,f,NA,2022,3.3,0.27,7,,4,
2022-04-08,,6,900043000243215,y,m,red,2020_2021,3.3,0.48,6.9,,0,
2022-04-08,,7,900043000243218,y,m,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,7,900043000243220,y,m,red,2020_2021,3.3,0.31,6.9,,13,
2022-04-08,,0,900043000243222,y,m,NA,2022,3.3,0.29,7.6,n,0,Park loop 1/4th the distance to fabbri picnic area
2022-04-08,,15,900043000243223,y,m,NA,2022,3.3,0.71,7.5,,17,
2022-04-08,,0,900043000243225,y,f,NA,2022,3.3,0.29,7.6,n,0,"In path, likely stepped on"
2022-04-08,,11,900043000243227,y,m,red,2020_2021,3.3,0.31,7,,20,
2022-04-08,,7,900043000243228,y,m,NA ,2022,3.3,0.31,6.9,,13,
2022-04-08,,7,900043000243231,y,f,yellow,2017,3.3,0.31,6.9,,13,
2022-04-08,,12,900043000243235,y,f,orange,2019,3.3,0.31,7,,0,
2022-04-08,,7,900043000243236,y,m,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,7,900043000243237,y,m,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,0,900043000243238,y,f,NA,2022,3.3,0.29,7.6,n,0,Path above pool 15
2022-04-08,,7,900043000243240,y,f,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,12,900043000243241,y,m,NA,2022,3.3,0.31,7,,0,
2022-04-08,,7,900043000243243,y,m,yellow,2017,3.3,0.31,6.9,,13,Tail clipped
2022-04-08,,15,900043000243246,y,m,orange,2019,3.3,0.71,7.5,,17,
2022-04-08,,7,900043000243249,y,m,pink,2018,3.3,0.31,6.9,,13,
2022-04-08,,0,900043000243250,y,m,NA,2022,3.3,0.29,7.6,n,0,
2022-04-08,,7,900043000243251,y,m,red,2020_2021,3.3,0.31,6.9,,13,
2022-04-08,,13,900043000243255,y,m,NA,2022,3.3,0.27,7,,4,
2022-04-08,47,15,900043000243257,x,m,NA ,2022,3.3,0.71,7.5,,17,
2022-04-08,,12,900043000243260,x,m,pink,2018,3.3,0.31,7,,0,
2022-04-08,,8,900043000243262,x,m,pink,2018,3.3,0.26,7.4,,0,
2022-04-08,,12,900043000243263,x,f,red,2020_2021,3.3,0.31,7,,0,
2022-04-08,,0,900043000243270,x,m,NA,2022,3.3,0.29,7.6,n,0,
2022-04-08,,7,900043000243271,x,f,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,13,900043000243275,x,m,NA,2022,3.3,0.27,7,,4,
2022-04-08,,11,900043000243277,x,f,orange,2019,3.3,0.31,7,,20,
2022-04-08,,0,900043000243279,x,m,NA,2022,3.3,0.29,7.6,n,0,
2022-04-08,,0,900043000243280,x,m,NA,2022,3.3,0.29,7.6,n,0,Path above pool 6
2022-04-08,,12,900043000243281,x,m,red,2020_2021,3.3,0.31,7,,0,
2022-04-08,,12,900043000243283,x,m,red,2020_2021,3.3,0.31,7,,0,
2022-04-08,,7,900043000243287,x,m,orange,2019,3.3,0.31,6.9,,13,
2022-04-08,,7,900043000243288,x,m,orange,2019,3.3,0.31,6.9,,13,
2022-04-08,,12,900043000243290,x,m,red,2020_2021,3.3,0.31,7,,0,
2022-04-08,,7,900043000243297,x,m,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,12,900043000243298,x,m,orange,2019,3.3,0.31,7,,0,Color debateable 
2022-04-08,,15,900043000243299,x,m,NA,2022,3.3,0.71,7.5,,17,
2022-04-08,,15,900043000243300,x,m,NA,2022,3.3,0.71,7.5,,17,Great Spots!
2022-04-08,,12,900043000243301,x,m,red,2020_2021,3.3,0.31,7,,0,
2022-04-08,,7,900043000243302,x,f,NA,2022,3.3,0.31,6.9,,13,
2022-04-08,,7,900043000243304,x,m,orange,2019,3.3,0.31,6.9,,13,ORANGE TAG EXPELLED
2022-04-09,,5,900043000243229,x,m,red,2020_2021,2,0.2,7.4,,,
2022-04-09,9,15,900043000243244,x,f,red,2020_2021,2,0.42,7.7,,,Kind of pink VIE 
2022-04-09,,7,900043000243253,x,m,red,2020_2021,2,0.21,8.3,,,
2022-04-09,,6,900043000243254,x,m,red,2020_2021,2,0.21,7.3,,,
2022-04-09,,0,900043000243256,x,f,NA ,2022,2,0,2,,,Above 15
2022-04-09,,7,900043000243258,x,m,orange,2019,2,0.21,8.3,,,
2022-04-09,,1,900043000243286,x,m,NA ,2022,2,0.29,8,,,
2022-04-09,,7,900043000243292,x,m,red,2020_2021,2,0.21,8.3,,,
2022-04-09,,0,900043000243294,x,f,NA ,2022,2,0,2,,,Above 15
2022-04-10,1,15,900043000243232,x,f,NA,2022,6,0.28,7.9,,,
2022-04-11,1,12,900043000243259,x,m,yellow,2017,8.3,0.7,11,,,
2022-04-12,8,12,900043000243205,x,f,orange,2019,8.3,0.17,10.1,,,
2022-04-12,,7,900043000243217,x,m,NA,2022,8.3,0.17,10,,,
2022-04-12,,7,900043000243230,x,m,yellow,2017,8.3,0.17,10,,,"Only has one eye ""eyeball"""
2022-04-12,,7,900043000243245,x,f,red,2020_2021,8.3,0.17,10,,,
2022-04-12,,7,900043000243267,x,f,red,2020_2021,8.3,0.17,10,,,
2022-04-12,,7,900043000243268,x,m,yellow,2017,8.3,0.17,10,,,
2022-04-12,,11,900043000243272,x,f,NA,2022,8.3,0.18,10.4,,,
2022-04-12,,7,900043000243296,x,m,NA,2022,8.3,0.17,10,,,
2022-04-13,,0,900043000243207,y,m,orange,2019,6.6,0.17,7.8,,,Above 5
2022-04-13,,0,900043000243224,y,f,yellow,2017,6.6,0.17,7.8,,,Above 5
2022-04-13,,11,900043000243226,y,f,NA,2022,6.6,0.16,9.7,,,
2022-04-13,,7,900043000243233,y,m,NA,2022,6.6,0.17,8.9,,,
2022-04-13,,3,900043000243239,y,m,NA,2022,6.6,0.16,9.7,,,
2022-04-13,,12,900043000243269,y,m,orange,2019,6.6,0.17,9.3,,,
2022-04-13,,13,900043000243291,y,f,NA,2022,6.6,0.22,9.7,,,
2022-04-13,8,15,900043000243295,y,m,orange,2019,6.6,0.28,9.3,,,
2022-04-14,1,6,900043000244887,x,m,orange,2019,5.5,,,,,
2022-04-15,1,0,900043000244904,x,f,red,2020_2021,6.1,0.19,7.8,,,"""new baby"""
2022-04-17,,13,900043000244809,x,f,NA,2022,2.7,0.18,9.9,,,
2022-04-17,,11,900043000244815,x,f,NA,2022,2.7,0.2,7.5,,,
2022-04-17,,7,900043000244816,x,f,NA,2022,2.7,0.19,7.5,,,
2022-04-17,,7,900043000244822,x,f,NA,2022,2.7,0.19,7.5,,,
2022-04-17,7,13,900043000244878,x,f,red,2020_2021,2.7,0.18,9.9,,,
2022-04-17,,13,900043000244899,x,f,orange,2019,2.7,0.18,9.9,,,
2022-04-17,,12,900043000244907,x,f,NA,2022,2.7,0.19,7.7,,,
2022-04-21,1,1,900043000244895,x,f,NA,2022,6.1,28.6,11.1,,,1.65ppt where found
